time,Latitude,Longitude,Height,Yaw,Pitch,Roll
0,45.3,-75.08,195,0,-1.5708,0
0.005,45.3,-75.08,195.0001813,0,-1.5708,0
0.01,45.3,-75.08,195.000725,0,-1.5708,0
0.015,45.3,-75.08,195.0016313,0,-1.5708,0
0.02,45.3,-75.08,195.0029,0,-1.5708,0
0.025,45.3,-75.08,195.0045313,0,-1.5708,0
0.03,45.3,-75.08,195.006525,0,-1.5708,0
0.035,45.3,-75.08,195.0088813,0,-1.5708,0
0.04,45.3,-75.08,195.0116,0,-1.5708,0
0.045,45.3,-75.08,195.0146813,0,-1.5708,0
0.05,45.3,-75.08,195.018125,0,-1.5708,0
0.055,45.3,-75.08,195.0219313,0,-1.5708,0
0.06,45.3,-75.08,195.0261,0,-1.5708,0
0.065,45.3,-75.08,195.0306313,0,-1.5708,0
0.07,45.3,-75.08,195.035525,0,-1.5708,0
0.075,45.3,-75.08,195.0407813,0,-1.5708,0
0.08,45.3,-75.08,195.0464,0,-1.5708,0
0.085,45.3,-75.08,195.0523813,0,-1.5708,0
0.09,45.3,-75.08,195.058725,0,-1.5708,0
0.095,45.3,-75.08,195.0654313,0,-1.5708,0
0.1,45.3,-75.08,195.0725,0,-1.5708,0
0.105,45.3,-75.08,195.0799313,0,-1.5708,0
0.11,45.3,-75.08,195.087725,0,-1.5708,0
0.115,45.3,-75.08,195.0958813,0,-1.5708,0
0.12,45.3,-75.08,195.1044,0,-1.5708,0
0.125,45.3,-75.08,195.1132813,0,-1.5708,0
0.13,45.3,-75.08,195.122525,0,-1.5708,0
0.135,45.3,-75.08,195.1321313,0,-1.5708,0
0.14,45.3,-75.08,195.1421,0,-1.5708,0
0.145,45.3,-75.08,195.1524313,0,-1.5708,0
0.15,45.3,-75.08,195.163125,0,-1.5708,0
0.155,45.3,-75.08,195.1741813,0,-1.5708,0
0.16,45.3,-75.08,195.1856,0,-1.5708,0
0.165,45.3,-75.08,195.1973813,0,-1.5708,0
0.17,45.3,-75.08,195.209525,0,-1.5708,0
0.175,45.3,-75.08,195.2220313,0,-1.5708,0
0.18,45.3,-75.08,195.2349,0,-1.5708,0
0.185,45.3,-75.08,195.2481313,0,-1.5708,0
0.19,45.3,-75.08,195.261725,0,-1.5708,0
0.195,45.3,-75.08,195.2756813,0,-1.5708,0
0.2,45.3,-75.08,195.29,0,-1.5708,0
0.205,45.3,-75.08,195.3046813,0,-1.5708,0
0.21,45.3,-75.08,195.319725,0,-1.5708,0
0.215,45.3,-75.08,195.3351313,0,-1.5708,0
0.22,45.3,-75.08,195.3509,0,-1.5708,0
0.225,45.3,-75.08,195.3670313,0,-1.5708,0
0.23,45.3,-75.08,195.383525,0,-1.5708,0
0.235,45.3,-75.08,195.4003813,0,-1.5708,0
0.24,45.3,-75.08,195.4176,0,-1.5708,0
0.245,45.3,-75.08,195.4351813,0,-1.5708,0
0.25,45.3,-75.08,195.453125,0,-1.5708,0
0.255,45.3,-75.08,195.4714313,0,-1.5708,0
0.26,45.3,-75.08,195.4901,0,-1.5708,0
0.265,45.3,-75.08,195.5091313,0,-1.5708,0
0.27,45.3,-75.08,195.528525,0,-1.5708,0
0.275,45.3,-75.08,195.5482813,0,-1.5708,0
0.28,45.3,-75.08,195.5684,0,-1.5708,0
0.285,45.3,-75.08,195.5888813,0,-1.5708,0
0.29,45.3,-75.08,195.609725,0,-1.5708,0
0.295,45.3,-75.08,195.6309313,0,-1.5708,0
0.3,45.3,-75.08,195.6525,0,-1.5708,0
0.305,45.3,-75.08,195.6744313,0,-1.5708,0
0.31,45.3,-75.08,195.696725,0,-1.5708,0
0.315,45.3,-75.08,195.7193813,0,-1.5708,0
0.32,45.3,-75.08,195.7424,0,-1.5708,0
0.325,45.3,-75.08,195.7657813,0,-1.5708,0
0.33,45.3,-75.08,195.789525,0,-1.5708,0
0.335,45.3,-75.08,195.8136313,0,-1.5708,0
0.34,45.3,-75.08,195.8381,0,-1.5708,0
0.345,45.3,-75.08,195.8629313,0,-1.5708,0
0.35,45.3,-75.08,195.888125,0,-1.5708,0
0.355,45.3,-75.08,195.9136813,0,-1.5708,0
0.36,45.3,-75.08,195.9396,0,-1.5708,0
0.365,45.3,-75.08,195.9658813,0,-1.5708,0
0.37,45.3,-75.08,195.992525,0,-1.5708,0
0.375,45.3,-75.08,196.0195313,0,-1.5708,0
0.38,45.3,-75.08,196.0469,0,-1.5708,0
0.385,45.3,-75.08,196.0746313,0,-1.5708,0
0.39,45.3,-75.08,196.102725,0,-1.5708,0
0.395,45.3,-75.08,196.1311813,0,-1.5708,0
0.4,45.3,-75.08,196.16,0,-1.5708,0
0.405,45.3,-75.08,196.1891813,0,-1.5708,0
0.41,45.3,-75.08,196.218725,0,-1.5708,0
0.415,45.3,-75.08,196.2486313,0,-1.5708,0
0.42,45.3,-75.08,196.2789,0,-1.5708,0
0.425,45.3,-75.08,196.3095313,0,-1.5708,0
0.43,45.3,-75.08,196.340525,0,-1.5708,0
0.435,45.3,-75.08,196.3718813,0,-1.5708,0
0.44,45.3,-75.08,196.4036,0,-1.5708,0
0.445,45.3,-75.08,196.4356813,0,-1.5708,0
0.45,45.3,-75.08,196.468125,0,-1.5708,0
0.455,45.3,-75.08,196.5009313,0,-1.5708,0
0.46,45.3,-75.08,196.5341,0,-1.5708,0
0.465,45.3,-75.08,196.5676313,0,-1.5708,0
0.47,45.3,-75.08,196.601525,0,-1.5708,0
0.475,45.3,-75.08,196.6357813,0,-1.5708,0
0.48,45.3,-75.08,196.6704,0,-1.5708,0
0.485,45.3,-75.08,196.7053813,0,-1.5708,0
0.49,45.3,-75.08,196.740725,0,-1.5708,0
0.495,45.3,-75.08,196.7764313,0,-1.5708,0
0.5,45.3,-75.08,196.8125,0,-1.5708,0
0.505,45.3,-75.08,196.8489313,0,-1.5708,0
0.51,45.3,-75.08,196.885725,0,-1.5708,0
