Longitude,Latitude,Height,Roll,Pitch,Yaw
-79.61450000000001,43.6817,1500,0,0.2,0
-79.61450000000001,43.68170000000001,1500.000000000229,1.261753647478702e-16,0.2,0
-79.61450000000001,43.68170000000037,1500.000000008252,2.725387877925109e-14,0.2,0
-79.61450000000001,43.68170000000978,1500.000000220275,3.758890267413228e-12,0.2,0
-79.61450000000001,43.68170000024767,1500.000005578173,4.790140966829342e-10,0.2,0
-79.61450000000001,43.68170000620772,1500.000139812122,6.010712062994745e-08,0.2,0
-79.61450000000001,43.68170003087351,1500.000695342658,6.666533334603564e-07,0.2,0
-79.61450000000001,43.68170012349404,1500.002781370631,5.332906682923856e-06,0.2,0
-79.61450000000001,43.68170027786158,1500.00625808392,1.799676027771146e-05,0.2,0
-79.61450000000001,43.68170049397615,1500.011125482524,4.265301541367884e-05,0.2,0
-79.61450000000001,43.68170077183773,1500.017383566444,8.329167658596172e-05,0.2,0
-79.61450000000001,43.68170111144634,1500.02503233568,0.0001438963555403772,0.2,0
-79.61450000000001,43.68170151280196,1500.034071790231,0.0002284426778818396,0.2,0
-79.61450000000001,43.6817019759046,1500.044501930098,0.0003408966928771259,0.2,0
-79.61450000000001,43.68170250075426,1500.05632275528,0.0004852132870880494,0.2,0
-79.61450000000001,43.68170308735093,1500.069534265778,0.0006653346024695661,0.2,0
-79.61450000000001,43.68170373569463,1500.084136461592,0.0008851884595655526,0.2,0
-79.61450000000001,43.68170444578534,1500.100129342721,0.001148686786432961,0.2,0
-79.61450000000001,43.68170492797641,1500.110989397896,0.001340127571132953,0.2,0
-79.61450000000001,43.68170492797641,1500.110989397896,0.00134012757113301,0.2,0
-79.61450000000001,43.68170521762308,1500.117512909165,0.001459692424990511,0.2,0
-79.61450000000001,43.68170605120783,1500.136287160925,0.00182053342161638,0.2,0
-79.61450000000001,43.6817069465396,1500.156452098001,0.002231374418242247,0.2,0
-79.61450000000001,43.68170790361839,1500.178007720392,0.002692215414868115,0.2,0
-79.61450000000001,43.68170892244419,1500.200954028099,0.003203056411493983,0.2,0
-79.61450000000001,43.68171000301702,1500.225291021121,0.00376389740811985,0.2,0
-79.61450000000001,43.68171114533686,1500.251018699459,0.004374738404745718,0.2,0
-79.61450000000001,43.68171234940373,1500.278137063113,0.005035579401371587,0.2,0
-79.61450000000001,43.68171361521761,1500.306646112082,0.005746420397997454,0.2,0
-79.61450000000001,43.68171494277851,1500.336545846367,0.006507261394623322,0.2,0
-79.61450000000001,43.68171633208643,1500.367836265967,0.007318102391249191,0.2,0
-79.61450000000001,43.68171778314137,1500.400517370883,0.008178943387875058,0.2,0
-79.61450000000001,43.68171929594332,1500.434589161114,0.009089784384500926,0.2,0
-79.61450000000001,43.68172087049231,1500.470051636661,0.01005062538112679,0.2,0
-79.61450000000001,43.6817225067883,1500.506904797523,0.01106146637775266,0.2,0
-79.61450000000001,43.68172420483131,1500.545148643701,0.01212230737437853,0.2,0
-79.61450000000001,43.68172596462134,1500.584783175195,0.01323314837100439,0.2,0
-79.61450000000001,43.68172778615839,1500.625808392004,0.01439398936763026,0.2,0
-79.61450000000001,43.68172966944246,1500.668224294129,0.01560483036425613,0.2,0
-79.61450000000001,43.68173161447355,1500.712030881569,0.016865671360882,0.2,0
-79.61450000000001,43.68173362125165,1500.757228154325,0.01817651235750787,0.2,0
-79.61450000000001,43.68173568977678,1500.803816112397,0.01953735335413374,0.2,0
-79.61450000000001,43.68173782004892,1500.851794755784,0.02094819435075961,0.2,0
-79.61450000000001,43.68174001206808,1500.901164084486,0.02240903534738547,0.2,0
-79.61450000000001,43.68174226583427,1500.951924098504,0.02391987634401133,0.2,0
-79.61450000000001,43.68174458134747,1501.004074797838,0.0254807173406372,0.2,0
-79.61450000000001,43.68174695860768,1501.057616182487,0.02709155833726307,0.2,0
-79.61450000000001,43.68174939761492,1501.112548252452,0.02875239933388894,0.2,0
-79.61450000000001,43.68175189836917,1501.168871007733,0.03046324033051481,0.2,0
-79.61450000000001,43.68175446087045,1501.226584448329,0.03222408132714067,0.2,0
-79.61450000000001,43.68175708511874,1501.28568857424,0.03403492232376654,0.2,0
-79.61450000000001,43.68175977111405,1501.346183385467,0.0358957633203924,0.2,0
-79.61450000000001,43.68176251885638,1501.40806888201,0.03780660431701827,0.2,0
-79.61450000000001,43.68176532834573,1501.471345063868,0.03976744531364414,0.2,0
-79.61450000000001,43.6817681995821,1501.536011931042,0.04177828631027002,0.2,0
-79.61450000000001,43.68177113256549,1501.602069483531,0.04383912730689588,0.2,0
-79.61450000000001,43.68177412729589,1501.669517721336,0.04594996830352174,0.2,0
-79.61450000000001,43.68177718377331,1501.738356644457,0.04811080930014761,0.2,0
-79.61450000000001,43.68178030199776,1501.808586252893,0.05032165029677348,0.2,0
-79.61450000000001,43.68178348196921,1501.880206546644,0.05258249129339936,0.2,0
-79.61450000000001,43.68178672368769,1501.953217525712,0.05489333229002522,0.2,0
-79.61450000000001,43.68179002715319,1502.027619190094,0.05725417328665109,0.2,0
-79.61450000000001,43.68179339236571,1502.103411539793,0.05966501428327696,0.2,0
-79.61450000000001,43.68179681932524,1502.180594574807,0.06212585527990283,0.2,0
-79.61450000000001,43.6818003080318,1502.259168295136,0.0646366962765287,0.2,0
-79.61450000000001,43.68180385848537,1502.339132700781,0.06719753727315454,0.2,0
-79.61450000000001,43.68180747068596,1502.420487791742,0.06980837826978041,0.2,0
-79.61450000000001,43.68181114463357,1502.503233568018,0.07246921926640627,0.2,0
-79.61450000000001,43.6818148803282,1502.58737002961,0.07518006026303215,0.2,0
