t,u,v,w,VT,phi,theta,psi,XE,YE,ZE,elevR,elevL,flapR,flapL,canard,rudder,alpha,beta
0.000,932.510,0.000,30.224,933.000,0.000,0.000,0.000,9.325,0.000,-20000.302,0.000,0.111,-0.009,-0.009,-0.011,0.021,0.000,0.000
0.010,932.510,0.033,30.251,933.000,0.001,0.000,0.000,18.650,0.000,-20000.605,0.000,0.111,-0.018,-0.015,-0.023,0.042,0.000,-0.000
0.020,932.509,0.068,30.296,933.001,0.002,0.000,0.000,27.975,0.001,-20000.907,0.000,0.110,-0.027,-0.022,-0.017,0.063,0.000,-0.000
0.030,932.508,0.087,30.352,933.002,0.004,0.000,0.000,37.300,0.002,-20001.210,0.000,0.109,-0.036,-0.031,-0.002,0.084,0.000,-0.000
0.040,932.507,0.079,30.417,933.003,0.007,0.000,0.000,46.625,0.003,-20001.514,0.000,0.107,-0.045,-0.040,0.017,0.105,0.000,-0.000
0.050,932.507,0.039,30.487,933.005,0.010,0.000,0.000,55.951,0.003,-20001.819,0.000,0.104,-0.055,-0.049,0.036,0.126,0.000,-0.000
0.060,932.507,0.039,30.560,933.007,0.013,0.000,0.000,65.276,0.002,-20002.124,0.000,0.100,-0.064,-0.058,0.054,0.147,0.000,0.000
0.070,932.507,0.156,30.636,933.010,0.017,-0.000,0.000,74.601,0.002,-20002.431,0.000,0.095,-0.073,-0.067,0.073,0.168,0.000,0.000
0.080,932.507,0.318,30.717,933.013,0.022,-0.000,0.000,83.926,0.002,-20002.739,0.000,0.090,-0.082,-0.076,0.092,0.188,0.001,0.000
0.090,932.507,0.527,30.806,933.016,0.027,-0.000,0.000,93.251,0.002,-20003.049,0.000,0.084,-0.091,-0.085,0.111,0.209,0.001,0.001
0.100,932.508,0.787,30.905,933.020,0.032,-0.000,0.000,102.576,0.003,-20003.360,0.000,0.079,-0.100,-0.094,0.129,0.230,0.001,0.001
0.110,932.509,1.101,31.019,933.025,0.038,-0.000,0.000,111.901,0.005,-20003.673,0.000,0.077,-0.109,-0.103,0.148,0.231,0.001,0.001
0.120,932.509,1.459,31.149,933.030,0.044,-0.000,0.000,121.226,0.008,-20003.988,0.000,0.077,-0.118,-0.112,0.167,0.227,0.001,0.002
0.130,932.510,1.849,31.296,933.036,0.051,-0.000,0.000,130.551,0.011,-20004.305,0.000,0.076,-0.127,-0.121,0.186,0.233,0.001,0.002
0.140,932.510,2.264,31.460,933.043,0.057,-0.000,-0.000,139.876,0.015,-20004.625,0.000,0.074,-0.137,-0.130,0.205,0.242,0.001,0.002
0.150,932.510,2.701,31.642,933.050,0.065,-0.001,-0.000,149.201,0.020,-20004.947,0.000,0.072,-0.146,-0.139,0.224,0.255,0.002,0.003
0.160,932.510,3.158,31.839,933.059,0.072,-0.001,-0.000,158.526,0.027,-20005.273,0.000,0.069,-0.155,-0.149,0.243,0.268,0.002,0.003
0.170,932.510,3.636,32.050,933.067,0.080,-0.001,-0.000,167.850,0.034,-20005.601,0.000,0.067,-0.164,-0.158,0.261,0.282,0.002,0.004
0.180,932.510,4.131,32.273,933.077,0.089,-0.001,-0.000,177.175,0.043,-20005.932,0.000,0.065,-0.173,-0.167,0.280,0.297,0.002,0.004
0.190,932.509,4.645,32.508,933.087,0.097,-0.001,-0.001,186.500,0.052,-20006.268,0.000,0.062,-0.182,-0.176,0.299,0.311,0.002,0.005
0.200,932.509,5.176,32.752,933.099,0.106,-0.001,-0.001,195.825,0.063,-20006.606,0.000,0.059,-0.191,-0.185,0.318,0.326,0.003,0.006
0.210,932.510,5.724,33.007,933.111,0.115,-0.001,-0.001,205.150,0.076,-20006.949,0.000,0.056,-0.200,-0.194,0.337,0.341,0.003,0.006
0.220,932.510,6.289,33.272,933.124,0.125,-0.001,-0.001,214.475,0.090,-20007.296,0.000,0.053,-0.209,-0.203,0.356,0.355,0.003,0.007
0.230,932.510,6.871,33.548,933.138,0.134,-0.001,-0.001,223.799,0.105,-20007.647,0.000,0.049,-0.218,-0.212,0.374,0.370,0.004,0.007
0.240,932.510,7.468,33.835,933.154,0.144,-0.001,-0.001,233.124,0.122,-20008.003,0.000,0.049,-0.227,-0.221,0.380,0.377,0.004,0.008
0.250,932.510,8.075,34.135,933.170,0.154,-0.001,-0.001,242.449,0.140,-20008.364,0.000,0.050,-0.236,-0.230,0.379,0.378,0.004,0.009
0.260,932.511,8.687,34.448,933.187,0.165,-0.001,-0.001,251.773,0.159,-20008.730,0.000,0.052,-0.245,-0.239,0.378,0.379,0.005,0.009
0.270,932.511,9.306,34.774,933.205,0.175,-0.001,-0.001,261.098,0.179,-20009.101,0.000,0.054,-0.254,-0.248,0.378,0.379,0.005,0.010
0.280,932.511,9.932,35.114,933.225,0.186,-0.001,-0.001,270.423,0.201,-20009.478,0.000,0.056,-0.264,-0.257,0.377,0.379,0.005,0.011
0.290,932.511,10.565,35.468,933.245,0.197,-0.001,-0.001,279.747,0.223,-20009.860,0.000,0.058,-0.273,-0.267,0.377,0.379,0.006,0.011
0.300,932.511,11.204,35.835,933.267,0.208,-0.002,-0.001,289.072,0.246,-20010.249,0.000,0.057,-0.282,-0.271,0.377,0.378,0.006,0.012
0.310,932.511,11.849,36.211,933.289,0.219,-0.002,-0.001,298.396,0.270,-20010.643,0.000,0.055,-0.291,-0.274,0.376,0.376,0.006,0.013
0.320,932.511,12.500,36.595,933.313,0.231,-0.002,-0.001,307.721,0.294,-20011.044,0.000,0.054,-0.300,-0.277,0.376,0.375,0.007,0.013
0.330,932.511,13.157,36.987,933.337,0.242,-0.002,-0.002,317.045,0.318,-20011.450,0.000,0.052,-0.309,-0.280,0.375,0.373,0.007,0.014
0.340,932.512,13.819,37.387,933.363,0.254,-0.002,-0.002,326.370,0.343,-20011.864,0.000,0.050,-0.318,-0.283,0.375,0.371,0.008,0.015
0.350,932.512,14.486,37.795,933.390,0.265,-0.002,-0.002,335.694,0.368,-20012.284,0.000,0.048,-0.327,-0.286,0.375,0.369,0.008,0.016
0.360,932.512,15.158,38.211,933.417,0.277,-0.002,-0.002,345.018,0.393,-20012.711,0.000,0.047,-0.336,-0.289,0.374,0.367,0.009,0.016
0.370,932.512,15.835,38.636,933.446,0.289,-0.002,-0.002,354.343,0.417,-20013.145,0.000,0.045,-0.345,-0.292,0.374,0.366,0.009,0.017
0.380,932.512,16.516,39.069,933.476,0.301,-0.002,-0.002,363.667,0.441,-20013.586,0.000,0.043,-0.354,-0.294,0.374,0.364,0.009,0.018
0.390,932.512,17.201,39.509,933.507,0.313,-0.002,-0.002,372.991,0.465,-20014.034,0.000,0.042,-0.363,-0.297,0.373,0.362,0.010,0.018
0.400,932.512,17.889,39.958,933.539,0.325,-0.002,-0.002,382.316,0.487,-20014.489,0.000,0.040,-0.372,-0.300,0.373,0.360,0.010,0.019
0.410,932.512,18.581,40.414,933.572,0.337,-0.002,-0.002,391.640,0.509,-20014.952,0.000,0.039,-0.382,-0.303,0.372,0.359,0.011,0.020
0.420,932.512,19.277,40.877,933.606,0.350,-0.002,-0.002,400.964,0.530,-20015.423,0.000,0.037,-0.391,-0.306,0.372,0.357,0.011,0.021
0.430,932.512,19.975,41.347,933.642,0.362,-0.002,-0.002,410.288,0.550,-20015.901,0.000,0.035,-0.400,-0.309,0.372,0.355,0.012,0.021
0.440,932.512,20.676,41.825,933.679,0.374,-0.002,-0.002,419.612,0.568,-20016.386,0.000,0.034,-0.401,-0.310,0.371,0.355,0.012,0.022
0.450,932.512,21.379,42.302,933.716,0.387,-0.002,-0.002,428.936,0.584,-20016.880,0.000,0.034,-0.401,-0.310,0.371,0.355,0.013,0.023
0.460,932.512,22.084,42.777,933.754,0.399,-0.002,-0.002,438.261,0.599,-20017.381,0.000,0.033,-0.401,-0.311,0.371,0.355,0.013,0.024
0.470,932.513,22.791,43.253,933.793,0.411,-0.002,-0.002,447.585,0.612,-20017.890,0.000,0.032,-0.401,-0.311,0.370,0.355,0.014,0.024
0.480,932.513,23.500,43.728,933.833,0.424,-0.002,-0.003,456.909,0.623,-20018.407,0.000,0.031,-0.401,-0.311,0.370,0.355,0.014,0.025
0.490,932.513,24.209,44.205,933.874,0.436,-0.002,-0.003,466.233,0.632,-20018.931,0.000,0.031,-0.401,-0.312,0.370,0.356,0.015,0.026
0.500,932.513,24.920,44.683,933.915,0.448,-0.002,-0.003,475.557,0.639,-20019.463,0.000,0.031,-0.401,-0.312,0.369,0.356,0.015,0.027
0.510,932.513,25.631,45.162,933.958,0.461,-0.002,-0.003,484.881,0.643,-20020.002,0.000,0.031,-0.401,-0.312,0.369,0.356,0.016,0.027
0.520,932.513,26.343,45.642,934.001,0.473,-0.002,-0.003,494.205,0.644,-20020.549,0.000,0.031,-0.401,-0.312,0.369,0.356,0.017,0.028
0.530,932.513,27.056,46.121,934.044,0.485,-0.002,-0.003,503.529,0.644,-20021.104,0.000,0.031,-0.401,-0.313,0.368,0.356,0.017,0.029
0.540,932.512,27.768,46.598,934.089,0.497,-0.002,-0.003,512.852,0.640,-20021.666,0.000,0.031,-0.401,-0.313,0.368,0.356,0.018,0.030
0.550,932.512,28.481,47.074,934.134,0.509,-0.002,-0.003,522.176,0.633,-20022.235,0.000,0.030,-0.401,-0.313,0.368,0.356,0.018,0.030
0.560,932.512,29.193,47.547,934.180,0.521,-0.002,-0.003,531.500,0.624,-20022.812,0.000,0.030,-0.401,-0.313,0.367,0.357,0.019,0.031
0.570,932.512,29.905,48.018,934.226,0.533,-0.002,-0.003,540.824,0.611,-20023.396,0.000,0.030,-0.401,-0.314,0.367,0.357,0.019,0.032
0.580,932.512,30.616,48.486,934.274,0.545,-0.002,-0.003,550.148,0.595,-20023.987,0.000,0.030,-0.401,-0.314,0.366,0.357,0.020,0.033
0.590,932.512,31.326,48.952,934.321,0.557,-0.002,-0.003,559.472,0.576,-20024.585,0.000,0.029,-0.401,-0.314,0.366,0.357,0.020,0.034
0.600,932.512,32.036,49.417,934.370,0.569,-0.002,-0.003,568.796,0.553,-20025.191,0.000,0.029,-0.401,-0.315,0.366,0.357,0.021,0.034
0.610,932.512,32.744,49.879,934.419,0.581,-0.002,-0.003,578.121,0.527,-20025.803,0.000,0.028,-0.401,-0.315,0.365,0.358,0.021,0.035
0.620,932.512,33.451,50.340,934.469,0.593,-0.002,-0.003,587.445,0.497,-20026.423,0.000,0.028,-0.401,-0.315,0.365,0.358,0.022,0.036
0.630,932.512,34.156,50.800,934.519,0.604,-0.002,-0.003,596.769,0.463,-20027.049,0.000,0.028,-0.401,-0.315,0.365,0.358,0.022,0.037
0.640,932.512,34.860,51.258,934.570,0.616,-0.001,-0.003,606.093,0.426,-20027.682,0.000,0.027,-0.401,-0.316,0.364,0.358,0.023,0.037
0.650,932.512,35.562,51.715,934.622,0.627,-0.001,-0.003,615.417,0.385,-20028.322,0.000,0.027,-0.401,-0.316,0.364,0.358,0.023,0.038
0.660,932.512,36.262,52.171,934.674,0.638,-0.001,-0.003,624.741,0.340,-20028.969,0.000,0.027,-0.401,-0.316,0.363,0.359,0.023,0.039
0.670,932.512,36.960,52.625,934.727,0.649,-0.001,-0.003,634.066,0.290,-20029.622,0.000,0.027,-0.401,-0.316,0.363,0.359,0.024,0.040
0.680,932.512,37.656,53.078,934.780,0.660,-0.001,-0.003,643.390,0.237,-20030.282,0.000,0.027,-0.401,-0.317,0.363,0.359,0.024,0.040
0.690,932.512,38.349,53.528,934.834,0.671,-0.001,-0.003,652.714,0.180,-20030.947,0.000,0.026,-0.401,-0.317,0.362,0.359,0.025,0.041
0.700,932.512,39.040,53.976,934.888,0.682,-0.001,-0.003,662.039,0.118,-20031.620,0.000,0.026,-0.401,-0.317,0.362,0.359,0.025,0.042
0.710,932.512,39.728,54.421,934.943,0.693,-0.001,-0.003,671.363,0.053,-20032.298,0.000,0.026,-0.401,-0.317,0.362,0.360,0.026,0.043
0.720,932.512,40.413,54.864,934.998,0.704,-0.001,-0.002,680.688,-0.017,-20032.983,0.000,0.026,-0.401,-0.318,0.361,0.360,0.026,0.043
0.730,932.512,41.096,55.305,935.054,0.714,-0.000,-0.002,690.013,-0.092,-20033.673,0.000,0.025,-0.401,-0.318,0.361,0.360,0.027,0.044
0.740,932.512,41.775,55.743,935.110,0.724,-0.000,-0.002,699.338,-0.171,-20034.369,0.000,0.025,-0.401,-0.318,0.360,0.360,0.027,0.045
0.750,932.512,42.452,56.179,935.167,0.735,-0.000,-0.002,708.662,-0.254,-20035.072,0.000,0.025,-0.401,-0.318,0.360,0.361,0.028,0.045
0.760,932.512,43.125,56.613,935.223,0.745,0.000,-0.002,717.987,-0.341,-20035.780,0.000,0.025,-0.401,-0.318,0.360,0.361,0.028,0.046
0.770,932.512,43.795,57.044,935.281,0.755,0.000,-0.002,727.313,-0.433,-20036.493,0.000,0.024,-0.401,-0.319,0.359,0.361,0.029,0.047
0.780,932.512,44.461,57.474,935.338,0.764,0.000,-0.002,736.638,-0.530,-20037.212,0.000,0.024,-0.401,-0.319,0.359,0.361,0.029,0.048
0.790,932.512,45.123,57.900,935.396,0.774,0.001,-0.002,745.963,-0.630,-20037.936,0.000,0.024,-0.401,-0.319,0.359,0.361,0.030,0.048
0.800,932.512,45.782,58.325,935.455,0.784,0.001,-0.002,755.289,-0.736,-20038.666,0.000,0.024,-0.401,-0.319,0.358,0.362,0.030,0.049
0.810,932.512,46.438,58.747,935.513,0.793,0.001,-0.002,764.614,-0.845,-20039.401,0.000,0.023,-0.401,-0.319,0.358,0.362,0.031,0.050
0.820,932.512,47.089,59.166,935.572,0.802,0.001,-0.002,773.940,-0.959,-20040.141,0.000,0.023,-0.401,-0.320,0.357,0.362,0.031,0.050
0.830,932.512,47.736,59.583,935.632,0.811,0.001,-0.002,783.266,-1.078,-20040.886,0.000,0.023,-0.401,-0.320,0.357,0.362,0.031,0.051
0.840,932.511,48.380,59.997,935.691,0.820,0.001,-0.002,792.592,-1.201,-20041.636,0.000,0.023,-0.401,-0.320,0.357,0.363,0.032,0.052
0.850,932.511,49.019,60.409,935.751,0.829,0.002,-0.001,801.918,-1.328,-20042.390,0.000,0.023,-0.401,-0.320,0.356,0.363,0.032,0.052
0.860,932.511,49.654,60.818,935.811,0.838,0.002,-0.001,811.244,-1.460,-20043.149,0.000,0.023,-0.401,-0.320,0.356,0.363,0.033,0.053
0.870,932.511,50.285,61.224,935.871,0.846,0.002,-0.001,820.571,-1.596,-20043.913,0.000,0.022,-0.401,-0.320,0.356,0.363,0.033,0.054
0.880,932.511,50.911,61.627,935.931,0.855,0.002,-0.001,829.897,-1.736,-20044.682,0.000,0.022,-0.401,-0.321,0.355,0.364,0.034,0.054
0.890,932.511,51.533,62.027,935.992,0.863,0.002,-0.001,839.224,-1.881,-20045.454,0.000,0.022,-0.401,-0.321,0.355,0.364,0.034,0.055
0.900,932.511,52.150,62.425,936.052,0.871,0.003,-0.001,848.551,-2.029,-20046.231,0.000,0.022,-0.401,-0.321,0.355,0.364,0.034,0.056
0.910,932.511,52.763,62.820,936.113,0.879,0.003,-0.001,857.878,-2.182,-20047.013,0.000,0.022,-0.401,-0.321,0.354,0.364,0.035,0.056
0.920,932.511,53.372,63.212,936.174,0.886,0.003,-0.001,867.206,-2.339,-20047.798,0.000,0.021,-0.401,-0.321,0.354,0.365,0.035,0.057
0.930,932.511,53.975,63.601,936.235,0.894,0.003,-0.000,876.533,-2.500,-20048.587,0.000,0.021,-0.401,-0.321,0.354,0.365,0.036,0.058
0.940,932.511,54.574,63.987,936.296,0.901,0.003,-0.000,885.861,-2.665,-20049.380,0.000,0.021,-0.401,-0.321,0.353,0.365,0.036,0.058
0.950,932.511,55.168,64.370,936.357,0.908,0.004,-0.000,895.189,-2.834,-20050.177,0.000,0.021,-0.401,-0.322,0.353,0.365,0.037,0.059
0.960,932.511,55.757,64.750,936.418,0.916,0.004,0.000,904.518,-3.007,-20050.978,0.000,0.021,-0.401,-0.322,0.353,0.366,0.037,0.060
0.970,932.511,56.341,65.127,936.479,0.922,0.004,0.000,913.846,-3.183,-20051.783,0.000,0.021,-0.401,-0.322,0.352,0.366,0.037,0.060
0.980,932.511,56.921,65.502,936.540,0.929,0.004,0.000,923.175,-3.364,-20052.591,0.000,0.021,-0.401,-0.322,0.352,0.366,0.038,0.061
0.990,932.511,57.495,65.873,936.601,0.936,0.005,0.001,932.504,-3.547,-20053.402,0.000,0.020,-0.401,-0.322,0.352,0.366,0.038,0.061
1.000,932.511,58.064,66.241,936.662,0.942,0.005,0.001,941.833,-3.735,-20054.217,0.000,0.020,-0.401,-0.322,0.351,0.367,0.039,0.062
1.010,932.511,58.628,66.606,936.723,0.948,0.005,0.001,951.163,-3.925,-20055.035,0.000,0.020,-0.401,-0.322,0.351,0.367,0.039,0.063
1.020,932.511,59.187,66.967,936.784,0.954,0.005,0.001,960.492,-4.120,-20055.856,0.000,0.020,-0.401,-0.322,0.351,0.367,0.039,0.063
1.030,932.511,59.741,67.326,936.845,0.960,0.005,0.001,969.822,-4.317,-20056.681,0.000,0.020,-0.401,-0.322,0.350,0.367,0.040,0.064
1.040,932.511,60.290,67.681,936.906,0.966,0.006,0.001,979.153,-4.517,-20057.509,0.000,0.020,-0.401,-0.322,0.350,0.368,0.040,0.064
1.050,932.511,60.834,68.034,936.966,0.972,0.006,0.002,988.483,-4.721,-20058.339,0.000,0.020,-0.401,-0.323,0.350,0.368,0.040,0.065
1.060,932.511,61.372,68.383,937.027,0.977,0.006,0.002,997.814,-4.927,-20059.173,0.000,0.020,-0.401,-0.323,0.349,0.368,0.041,0.066
1.070,932.511,61.905,68.729,937.087,0.982,0.006,0.002,1007.145,-5.137,-20060.009,0.000,0.019,-0.401,-0.323,0.349,0.369,0.041,0.066
1.080,932.511,62.433,69.071,937.147,0.988,0.007,0.002,1016.477,-5.349,-20060.848,0.000,0.019,-0.401,-0.323,0.349,0.369,0.042,0.067
1.090,932.511,62.955,69.411,937.207,0.992,0.007,0.002,1025.808,-5.563,-20061.690,0.000,0.019,-0.401,-0.323,0.348,0.369,0.042,0.067
1.100,932.511,63.472,69.747,937.267,0.997,0.007,0.003,1035.140,-5.780,-20062.535,0.000,0.019,-0.401,-0.323,0.348,0.369,0.042,0.068
1.110,932.511,63.984,70.080,937.327,1.002,0.007,0.003,1044.473,-6.000,-20063.382,0.000,0.019,-0.401,-0.323,0.348,0.370,0.043,0.068
1.120,932.511,64.491,70.409,937.386,1.006,0.008,0.003,1053.805,-6.222,-20064.232,0.000,0.019,-0.401,-0.323,0.347,0.370,0.043,0.069
1.130,932.511,64.992,70.736,937.445,1.011,0.008,0.003,1063.138,-6.446,-20065.084,0.000,0.019,-0.401,-0.323,0.347,0.370,0.043,0.069
1.140,932.511,65.487,71.059,937.504,1.015,0.008,0.003,1072.471,-6.671,-20065.939,0.000,0.019,-0.401,-0.323,0.347,0.370,0.044,0.070
1.150,932.511,65.977,71.378,937.563,1.019,0.008,0.004,1081.805,-6.899,-20066.796,0.000,0.019,-0.401,-0.323,0.347,0.371,0.044,0.070
1.160,932.511,66.462,71.694,937.621,1.023,0.009,0.004,1091.139,-7.129,-20067.656,0.000,0.019,-0.401,-0.323,0.346,0.371,0.044,0.071
1.170,932.511,66.942,72.007,937.679,1.026,0.009,0.004,1100.473,-7.360,-20068.517,0.000,0.019,-0.401,-0.323,0.346,0.371,0.045,0.071
1.180,932.511,67.416,72.317,937.737,1.030,0.009,0.004,1109.808,-7.593,-20069.381,0.000,0.019,-0.401,-0.323,0.346,0.371,0.045,0.072
1.190,932.511,67.884,72.623,937.794,1.033,0.010,0.004,1119.143,-7.827,-20070.247,0.000,0.019,-0.401,-0.323,0.345,0.372,0.045,0.072
1.200,932.511,68.347,72.926,937.852,1.036,0.010,0.005,1128.478,-8.063,-20071.116,0.000,0.018,-0.401,-0.323,0.345,0.372,0.046,0.073
1.210,932.511,68.805,73.225,937.908,1.039,0.010,0.005,1137.814,-8.299,-20071.986,0.000,0.018,-0.401,-0.323,0.345,0.372,0.046,0.073
1.220,932.511,69.257,73.521,937.965,1.042,0.010,0.005,1147.150,-8.537,-20072.858,0.000,0.018,-0.401,-0.323,0.345,0.373,0.046,0.074
1.230,932.510,69.704,73.814,938.021,1.045,0.011,0.005,1156.486,-8.776,-20073.733,0.000,0.018,-0.401,-0.323,0.344,0.373,0.047,0.074
1.240,932.510,70.146,74.103,938.076,1.048,0.011,0.006,1165.823,-9.015,-20074.609,0.000,0.018,-0.401,-0.323,0.344,0.373,0.047,0.075
1.250,932.510,70.582,74.389,938.132,1.050,0.011,0.006,1175.160,-9.255,-20075.488,0.000,0.018,-0.401,-0.323,0.344,0.373,0.047,0.075
1.260,932.510,71.013,74.671,938.187,1.053,0.011,0.006,1184.497,-9.495,-20076.368,0.000,0.018,-0.401,-0.323,0.343,0.374,0.048,0.076
1.270,932.510,71.438,74.950,938.241,1.055,0.012,0.006,1193.835,-9.736,-20077.250,0.000,0.018,-0.401,-0.323,0.343,0.374,0.048,0.076
1.280,932.510,71.858,75.226,938.295,1.057,0.012,0.007,1203.173,-9.976,-20078.134,0.000,0.018,-0.401,-0.323,0.343,0.374,0.048,0.077
1.290,932.510,72.272,75.498,938.349,1.059,0.012,0.007,1212.511,-10.217,-20079.019,0.000,0.018,-0.401,-0.323,0.343,0.374,0.048,0.077
1.300,932.510,72.682,75.767,938.402,1.060,0.013,0.007,1221.850,-10.458,-20079.907,0.000,0.018,-0.401,-0.323,0.342,0.375,0.049,0.078
1.310,932.510,73.085,76.032,938.455,1.062,0.013,0.007,1231.189,-10.698,-20080.796,0.000,0.018,-0.401,-0.323,0.342,0.375,0.049,0.078
1.320,932.510,73.484,76.294,938.507,1.064,0.013,0.007,1240.529,-10.939,-20081.687,0.000,0.018,-0.401,-0.323,0.342,0.375,0.049,0.078
1.330,932.510,73.877,76.552,938.559,1.065,0.013,0.008,1249.869,-11.178,-20082.579,0.000,0.018,-0.401,-0.323,0.342,0.376,0.050,0.079
1.340,932.510,74.265,76.807,938.611,1.066,0.014,0.008,1259.209,-11.417,-20083.473,0.000,0.018,-0.401,-0.323,0.341,0.376,0.050,0.079
1.350,932.510,74.648,77.059,938.662,1.067,0.014,0.008,1268.550,-11.656,-20084.369,0.000,0.018,-0.401,-0.323,0.341,0.376,0.050,0.080
1.360,932.510,75.025,77.307,938.712,1.068,0.014,0.008,1277.891,-11.893,-20085.266,0.000,0.018,-0.401,-0.323,0.341,0.376,0.050,0.080
1.370,932.510,75.398,77.551,938.762,1.069,0.014,0.009,1287.233,-12.129,-20086.165,0.000,0.018,-0.401,-0.323,0.341,0.377,0.051,0.080
1.380,932.510,75.765,77.793,938.812,1.070,0.015,0.009,1296.575,-12.364,-20087.066,0.000,0.018,-0.401,-0.323,0.340,0.377,0.051,0.081
1.390,932.510,76.126,78.030,938.861,1.070,0.015,0.009,1305.917,-12.598,-20087.968,0.000,0.018,-0.401,-0.323,0.340,0.377,0.051,0.081
1.400,932.510,76.483,78.265,938.909,1.071,0.015,0.009,1315.260,-12.831,-20088.871,0.000,0.018,-0.401,-0.323,0.340,0.377,0.051,0.082
1.410,932.510,76.835,78.496,938.957,1.071,0.016,0.010,1324.603,-13.061,-20089.776,0.000,0.018,-0.401,-0.323,0.340,0.378,0.052,0.082
1.420,932.510,77.181,78.723,939.004,1.071,0.016,0.010,1333.946,-13.290,-20090.682,0.000,0.018,-0.401,-0.322,0.340,0.378,0.052,0.082
1.430,932.510,77.522,78.947,939.051,1.071,0.016,0.010,1343.290,-13.517,-20091.590,0.000,0.018,-0.401,-0.322,0.339,0.378,0.052,0.083
1.440,932.510,77.859,79.168,939.098,1.071,0.016,0.010,1352.634,-13.742,-20092.499,0.000,0.018,-0.401,-0.322,0.339,0.378,0.052,0.083
1.450,932.510,78.190,79.385,939.144,1.071,0.017,0.011,1361.978,-13.965,-20093.410,0.000,0.018,-0.401,-0.322,0.339,0.379,0.053,0.083
1.460,932.510,78.516,79.599,939.189,1.071,0.017,0.011,1371.323,-14.186,-20094.321,0.000,0.018,-0.401,-0.322,0.339,0.379,0.053,0.084
1.470,932.510,78.838,79.810,939.234,1.070,0.017,0.011,1380.669,-14.404,-20095.234,0.000,0.018,-0.401,-0.322,0.338,0.379,0.053,0.084
1.480,932.510,79.154,80.017,939.278,1.070,0.018,0.011,1390.014,-14.620,-20096.149,0.000,0.018,-0.401,-0.322,0.338,0.379,0.053,0.084
1.490,932.510,79.466,80.220,939.322,1.069,0.018,0.012,1399.360,-14.833,-20097.065,0.000,0.018,-0.401,-0.322,0.338,0.380,0.053,0.085
1.500,932.510,79.772,80.421,939.365,1.068,0.018,0.012,1408.707,-15.044,-20097.982,0.000,0.018,-0.401,-0.322,0.338,0.380,0.054,0.085
1.510,932.510,80.074,80.618,939.407,1.067,0.018,0.012,1418.054,-15.251,-20098.900,0.000,0.019,-0.401,-0.322,0.338,0.380,0.054,0.085
1.520,932.510,80.371,80.811,939.449,1.066,0.019,0.012,1427.401,-15.455,-20099.819,0.000,0.019,-0.401,-0.322,0.337,0.380,0.054,0.086
1.530,932.510,80.663,81.002,939.491,1.065,0.019,0.013,1436.748,-15.657,-20100.740,0.000,0.019,-0.401,-0.322,0.337,0.381,0.054,0.086
1.540,932.510,80.951,81.189,939.531,1.064,0.019,0.013,1446.096,-15.855,-20101.661,0.000,0.019,-0.401,-0.321,0.337,0.381,0.054,0.086
1.550,932.510,81.234,81.372,939.572,1.063,0.020,0.013,1455.444,-16.049,-20102.584,0.000,0.019,-0.401,-0.321,0.337,0.381,0.055,0.087
1.560,932.510,81.512,81.553,939.611,1.062,0.020,0.013,1464.793,-16.240,-20103.508,0.000,0.019,-0.401,-0.321,0.337,0.381,0.055,0.087
1.570,932.510,81.786,81.730,939.651,1.060,0.020,0.013,1474.142,-16.427,-20104.434,0.000,0.019,-0.401,-0.321,0.337,0.382,0.055,0.087
1.580,932.510,82.055,81.904,939.689,1.059,0.020,0.014,1483.491,-16.611,-20105.360,0.000,0.019,-0.401,-0.321,0.336,0.382,0.055,0.087
1.590,932.510,82.319,82.074,939.727,1.057,0.021,0.014,1492.841,-16.790,-20106.287,0.000,0.019,-0.401,-0.321,0.336,0.382,0.055,0.088
1.600,932.510,82.579,82.241,939.765,1.055,0.021,0.014,1502.191,-16.966,-20107.215,0.000,0.019,-0.401,-0.321,0.336,0.382,0.056,0.088
1.610,932.510,82.835,82.405,939.801,1.053,0.021,0.014,1511.541,-17.137,-20108.145,0.000,0.019,-0.401,-0.321,0.336,0.383,0.056,0.088
1.620,932.510,83.086,82.566,939.838,1.051,0.022,0.015,1520.892,-17.305,-20109.075,0.000,0.019,-0.401,-0.321,0.336,0.383,0.056,0.089
1.630,932.510,83.332,82.724,939.873,1.049,0.022,0.015,1530.243,-17.468,-20110.006,0.000,0.019,-0.401,-0.320,0.336,0.383,0.056,0.089
1.640,932.510,83.575,82.878,939.908,1.047,0.022,0.015,1539.595,-17.626,-20110.938,0.000,0.019,-0.401,-0.320,0.335,0.383,0.056,0.089
1.650,932.510,83.813,83.029,939.943,1.045,0.022,0.015,1548.946,-17.780,-20111.871,0.000,0.019,-0.401,-0.320,0.335,0.384,0.056,0.089
1.660,932.510,84.047,83.177,939.977,1.043,0.023,0.016,1558.298,-17.929,-20112.805,0.000,0.019,-0.401,-0.320,0.335,0.384,0.057,0.090
1.670,932.510,84.276,83.322,940.010,1.040,0.023,0.016,1567.651,-18.074,-20113.740,0.000,0.020,-0.401,-0.320,0.335,0.384,0.057,0.090
1.680,932.510,84.501,83.463,940.043,1.038,0.023,0.016,1577.004,-18.213,-20114.676,0.000,0.020,-0.401,-0.320,0.335,0.384,0.057,0.090
1.690,932.510,84.723,83.602,940.075,1.035,0.023,0.016,1586.357,-18.348,-20115.612,0.000,0.020,-0.401,-0.320,0.335,0.385,0.057,0.090
